c_unit	u_name	dep_name
O3B	ARI-MED	สาขาวิชาอายุรศาสตร์
O3C	ARI-ENT	สาขาวิชาโสต ศอ นาสิกวิทยา
O3D	ARI-FAMMED	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O3E	ARI-เด็ก	สาขาวิชากุมารเวชศาสตร์
O3F	นอกเวลา ARI-MED	สาขาวิชาอายุรศาสตร์
O3G	นอกเวลา ARI-ENT	สาขาวิชาโสต ศอ นาสิกวิทยา
O3H	นอกเวลา ARI-FAMMED	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O3I	นอกเวลา ARI-เด็ก	สาขาวิชากุมารเวชศาสตร์
O3J	PUI	สาขาวิชาอายุรศาสตร์
O3M	นอกเวลาP-อายุScopปอด	สาขาวิชาอายุรศาสตร์
O3N	Pelvic floor dysfunc	สาขาวิชาศัลยศาสตร์
O3O	C Plus Center	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O3Q	ทำแผลฉีดยา (ทำแผล)	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O3P	ห้องผ่าตัดศรีเวชวัฒน	สาขาวิชาวิสัญญีวิทยา
O3R	ศูนย์พัฒนาการเด็ก	สาขาวิชากุมารเวชศาสตร์
O3S	ศูนย์ Refer ผู้ป่วย	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O3T	เด็ก-ผิวหนัง	สาขาวิชากุมารเวชศาสตร์
O3U	พิเศษ-ผิวหนังเด็ก	สาขาวิชากุมารเวชศาสตร์
O3V	นอกเวลา-เด็กผิวหนัง	สาขาวิชากุมารเวชศาสตร์
O3W	ห้องผ่าตัดรัตนชีวรัก	สาขาวิชาวิสัญญีวิทยา
O3X	ศูนย์การขับถ่ายฯ	สาขาวิชาศัลยศาสตร์
O3Y	วัคซีนไข้หวัด ปกส.มอ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O3Z	ศูนย์โรคหัวใจ-NSTEMI	สาขาวิชาอายุรศาสตร์
O4A	เด็ก-วัคซีน	สาขาวิชากุมารเวชศาสตร์
O4B	วัคซีนผู้ใหญ่	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4C	หูคอจมูก-OR SDC	สาขาวิชาโสต ศอ นาสิกวิทยา
O4D	อายุร-EndOfLifeRefer	สาขาวิชาอายุรศาสตร์
O4E	ศูนย์เด็ก-กิจกรรม	สาขาวิชากุมารเวชศาสตร์
O4F	ศูนย์เด็ก-กายภาพ	สาขาวิชากุมารเวชศาสตร์
O4G	ศูนย์เด็ก-ครูพิเศษ	สาขาวิชากุมารเวชศาสตร์
O4H	ศูนย์เด็ก-จิตวิทยา	สาขาวิชากุมารเวชศาสตร์
O4I	ฉีดวัคซีน Covid-19	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4J	CovidVaccineReaction	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4K	เด็ก-skin prick test	สาขาวิชากุมารเวชศาสตร์
O4L	Covid-ICC	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4M	ฉีดวัคซีนไข้หวัดใหญ่	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4N	พิเศษ-วัคซีนหวัดใหญ่	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4O	ห้อง Sleep lab-CPAP	สาขาวิชาจิตเวชศาสตร์
O4P	Home ISOLATION-His	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4S	พิเศษ-ตาCT-VF	สาขาวิชาจักษุวิทยา
O4T	ศูนย์เด็ก-ฝึกพูด	สาขาวิชากุมารเวชศาสตร์
O4U	อายุร-ลดน้ำหนัก	สาขาวิชาอายุรศาสตร์
O4V	ปฐมภูมิ-ผู้สูงอายุ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4W	ปฐมภูมิ-CGA	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4X	เด็ก-Drug Allergy	สาขาวิชากุมารเวชศาสตร์
O4Y	ตรวจสุขภาพบุคลากรมอ.	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O4Z	ศูนย์โรคหัวใจ-MI	สาขาวิชาอายุรศาสตร์
O5A	ตา-CMV Med	สาขาวิชาจักษุวิทยา
O5B	TeleMed-อายุร	สาขาวิชาอายุรศาสตร์
O5C	เภสัชกรรมบริบาล	ฝ่ายเภสัชกรรม
O5D	ศูนย์เต้านม Premium	ศูนย์ถันยเวชช์เฉลิมพระเกียรติ
O5E	เวชฯ สงกรานต์/ปีใหม่	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O5F	พิเศษตรวจมวลกระดูก 	สาขาวิชาอายุรศาสตร์
O5G	OPSI	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O5H	ตรวจสุขภาพเคลื่อนที่	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O5I	OPD Covid-19	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O5J	เด็ก-FeNO	สาขาวิชากุมารเวชศาสตร์
O5K	พิเศษ50ปี คณะแพทย์ 	โครงการจัดตั้งศูนย์บริการพิเศษศรีเวชวัฒน์
O5L	ศัลย์-ข้ามเพศ	สาขาวิชาศัลยศาสตร์
O5M	อายุร-ข้ามเพศ	สาขาวิชาอายุรศาสตร์
O5N	อายุร-เท้าเบาหวาน	สาขาวิชาอายุรศาสตร์
O5O	จิตเวช 3	สาขาวิชาจิตเวชศาสตร์
O4R	พิเศษ-ฟื้นฟู	สาขาวิชาเวชศาสตร์ฟื้นฟู
O5P	กายภาพ-Cardiac	สาขาวิชาออร์โธปิดิกส์
O5Q	พิเศษ-กายภาพบำบัด	สาขาวิชาเวชศาสตร์ฟื้นฟู
O5R	ศูนย์หัวใจ-เด็ก	สาขาวิชาอายุรศาสตร์
O5S	ศูนย์ PalliativeCare	สาขาวิชาศัลยศาสตร์
O5T	PalliativeHomeVisit	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O5V	พิเศษ-คลื่นหัวใจPPM	สาขาวิชาอายุรศาสตร์
O5W	สุขภาพเคลื่อนที่-PSU	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O5X	นอกเวลาP-คลื่นหัวใจ	สาขาวิชาออร์โธปิดิกส์
O5Y	พิเศษ-กิจกรรมบำบัด	สาขาวิชาเวชศาสตร์ฟื้นฟู
O6A	พิเศษ-กายอุปกรณ์	สาขาวิชาเวชศาสตร์ฟื้นฟู
O6B	พิเศษ-กิจกรรมบำบัด	สาขาวิชาเวชศาสตร์ฟื้นฟู
O6C	ตรวจสุขภาพคณะแพทย์	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O6D	นอกเวลาP-ฟื้นฟู	สาขาวิชาเวชศาสตร์ฟื้นฟู
O6E	Test-Endo-T1D	สาขาวิชาอายุรศาสตร์
O6F	PSU PRIDE	สาขาวิชาอายุรศาสตร์
O6J	TeleMed-เด็ก	สาขาวิชากุมารเวชศาสตร์
O6K	TeleMed-เด็ก-Asthma	สาขาวิชากุมารเวชศาสตร์
O6L	TeleMed-เด็ก-Develop	สาขาวิชากุมารเวชศาสตร์
O6M	โรคหัวใจ-Carelink	สาขาวิชาอายุรศาสตร์
U59	ศูนย์เครื่องมือแพทย์	ศูนย์อุปกรณ์เครื่องมือทางการแพทย์
O6N	ตา-CXL	สาขาวิชาจักษุวิทยา
O6O	ฉุกเฉิน Revisit-1	สาขาวิชาเวชศาสตร์ฉุกเฉิน
O6P	ฉุกเฉิน Revisit-2	สาขาวิชาเวชศาสตร์ฉุกเฉิน
O6Q	ฉุกเฉิน Revisit-3	สาขาวิชาเวชศาสตร์ฉุกเฉิน
O6R	ฉุกเฉิน EMS	สาขาวิชาเวชศาสตร์ฉุกเฉิน
O6S	ศูนย์โรคหัวใจ-GUCH	สาขาวิชาอายุรศาสตร์
O6T	รพ.ทันตกรรม-ผ่าตัด	ฝ่ายทันตกรรม
O6U	ศูนย์เด็ก-พยาบาล	สาขาวิชากุมารเวชศาสตร์
O6V	อายุร-IBD	สาขาวิชาอายุรศาสตร์
O5Z	ศัลย-Ostomy	สาขาวิชาศัลยศาสตร์
O6W	Consult-Premium	โครงการจัดตั้งศูนย์บริการพิเศษศรีเวชวัฒน์
O6X	Genetic Counseling	สาขาวิชาพยาธิวิทยา
O6Y	TeleMed-จิตเวช	สาขาวิชาจิตเวชศาสตร์
O6Z	ศูนย์โรคหัวใจ-TAVI	สาขาวิชาอายุรศาสตร์
O7A	Endocrine Adrenal	สาขาวิชาอายุรศาสตร์
O7B	ปฐมภูมิVacนศ.คณะแพทย	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O7C	กายภาพบำบัด-วันมหิดล	สาขาวิชากายภาพบำบัด
O7D	ปฐมภูมิ-วันมหิดล	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O7E	ศูนย์ฟื้นฟู-วันมหิดล	สาขาวิชาเวชศาสตร์ฟื้นฟู
O7F	หลอดเลือด-วันมหิดล	สาขาวิชารังสีวิทยา
